,start station id,start station latitude,start station longitude,end station latitude,end station longitude,gender,borough,ageintervals,tripdurationintervals,timeminutes,degrees
207,147,40.71542197,-74.01121978,40.70905623,-74.01043382,1,Manhattan,10.0,2.0,6.0,22.0
208,489,40.75066386,-74.00176802,40.75044999,-73.99481051,1,Manhattan,24.0,2.0,6.0,11.0
209,471,40.71286844,-73.95698119,40.71286844,-73.95698119,2,Brooklyn,13.0,1.0,6.0,34.0
210,293,40.73028666,-73.9907647,40.72679454,-73.99695094,1,Manhattan,17.0,2.0,6.0,30.0
211,504,40.73221853,-73.98165557,40.73935542,-73.99931783,1,Manhattan,21.0,5.0,6.0,37.0
212,514,40.76087502,-74.00277668,40.74195138,-74.00803013,1,Manhattan,17.0,3.0,6.0,24.0
213,493,40.7568001,-73.98291153,40.75323098,-73.97032517,1,Manhattan,23.0,2.0,6.0,13.0
214,305,40.76095756,-73.96724467,40.726280700000004,-73.98978041,1,Manhattan,13.0,8.0,6.0,27.0
215,355,40.71602118,-73.99974372,40.713126,-73.984844,1,Manhattan,10.0,4.0,6.0,13.0
216,545,40.736502,-73.97809472,40.74144387,-73.97536082,2,Manhattan,16.0,3.0,6.0,4.0
217,496,40.73726186,-73.99238967,40.73935542,-73.99931783,1,Manhattan,26.0,6.0,6.0,36.0
218,128,40.72710258,-74.00297088,40.71622644,-73.98261206,1,Manhattan,20.0,8.0,6.0,15.0
219,512,40.750072700000004,-73.99839279,40.73454567,-73.99074142,1,Manhattan,21.0,9.0,6.0,19.0
220,128,40.72710258,-74.00297088,40.73038599,-74.00214988,2,Manhattan,23.0,1.0,6.0,2.0
221,423,40.76584941,-73.98690506,40.76461837,-73.98789473,1,Manhattan,14.0,1.0,7.0,27.0
222,161,40.72917025,-73.99810231,40.73291553,-74.00711384,1,Manhattan,23.0,3.0,7.0,37.0
223,2021,40.75929124,-73.98859651,40.7218158,-73.99720307,1,Manhattan,13.0,12.0,7.0,24.0
